layer,output_norm,yd_emb_norm
2,15.449649810791016,3.322080135345459
2,21.80635643005371,4.2837653160095215
2,20.084312438964844,3.5249977111816406
2,23.382362365722656,3.5002894401550293
2,23.470346450805664,3.354990005493164
2,24.584716796875,3.2774839401245117
2,24.720321655273438,3.2452938556671143
2,25.550622940063477,3.2438786029815674
2,26.660282135009766,3.2428202629089355
2,27.9810791015625,3.24127197265625
2,28.724550247192383,3.2402806282043457
2,29.24478530883789,3.2400121688842773
2,30.030040740966797,3.239527940750122
2,30.981571197509766,3.2389516830444336
2,30.75571632385254,3.2385265827178955
2,31.68125343322754,3.23822021484375
2,32.137874603271484,3.2374918460845947
2,32.653324127197266,3.237011671066284
2,33.18746566772461,3.236607074737549
2,34.761741638183594,3.236711263656616
2,33.88124465942383,3.2358150482177734
2,33.75105285644531,3.2357373237609863
2,33.98536682128906,3.2363646030426025
2,34.17780685424805,3.235960006713867
2,33.20074462890625,3.235093832015991
2,33.043121337890625,3.235260248184204
2,32.73628234863281,3.2358527183532715
2,31.725383758544922,3.235701560974121
2,31.949859619140625,3.2350316047668457
2,31.478620529174805,3.2345149517059326
2,30.719623565673828,3.2346856594085693
2,30.651765823364258,3.235281467437744
2,31.10143280029297,3.2353644371032715
2,29.506895065307617,3.2349061965942383
2,29.663930892944336,3.234452724456787
2,30.252811431884766,3.234532117843628
2,30.4669189453125,3.2349843978881836
2,30.50489044189453,3.2354466915130615
2,30.45136260986328,3.2356960773468018
2,30.565019607543945,3.2357189655303955
2,29.376081466674805,3.235691785812378
2,29.327821731567383,3.235691785812378
2,29.259044647216797,3.235691785812378
2,29.350881576538086,3.235691785812378
2,29.62187385559082,3.235692024230957
2,29.546262741088867,3.235691785812378
2,29.546262741088867,3.235691785812378
2,29.509855270385742,3.235691785812378
2,29.509855270385742,3.235691785812378
2,29.31343650817871,3.235691785812378
2,29.31343650817871,3.235691785812378
2,29.436376571655273,3.235691785812378
2,29.436376571655273,3.235691785812378
2,29.67767906188965,3.235691785812378
2,29.67767906188965,3.235691785812378
2,30.249467849731445,3.235691785812378
2,29.271055221557617,3.2357306480407715
2,29.385875701904297,3.2358238697052
2,29.130779266357422,3.23598575592041
2,28.330141067504883,3.236163854598999
2,28.872604370117188,3.236351728439331
2,27.899003982543945,3.2364661693573
2,28.320390701293945,3.2365105152130127
2,28.071063995361328,3.236497163772583
2,28.218217849731445,3.2364563941955566
2,28.28528594970703,3.2363390922546387
2,27.43098258972168,3.236199378967285
2,26.934986114501953,3.236091375350952
2,27.24781036376953,3.2359495162963867
2,28.067312240600586,3.2357864379882812
2,28.239238739013672,3.2357029914855957
2,29.061891555786133,3.235629081726074
2,29.45078468322754,3.235570192337036
2,30.547460556030273,3.235490322113037
2,29.697519302368164,3.2353873252868652
2,30.25437355041504,3.235321521759033
2,30.028568267822266,3.2352373600006104
2,30.551918029785156,3.2351388931274414
2,29.92601203918457,3.23504900932312
2,29.598684310913086,3.234968662261963
2,30.260786056518555,3.2348737716674805
2,29.054893493652344,3.234799385070801
2,29.318645477294922,3.2347278594970703
2,29.44746971130371,3.2346837520599365
2,29.24782943725586,3.234630823135376
2,29.497385025024414,3.2345798015594482
2,29.352069854736328,3.2345147132873535
2,29.16763687133789,3.2344720363616943
2,30.15396499633789,3.2343811988830566
2,29.94304084777832,3.2342569828033447
