layer,output_norm,t1_emb_norm
0,10.478506088256836,4.823883056640625
1,12.711581230163574,4.667458534240723
2,15.449649810791016,3.322080135345459
0,11.625718116760254,4.797292709350586
1,16.77758026123047,4.455109119415283
2,21.80635643005371,4.2837653160095215
0,11.394688606262207,4.914356231689453
1,16.126855850219727,4.446751117706299
2,20.084312438964844,3.5249977111816406
0,13.031072616577148,6.144908905029297
1,18.928075790405273,4.4402666091918945
2,23.382362365722656,3.5002894401550293
0,13.555336952209473,6.123960018157959
1,19.366466522216797,4.442800045013428
2,23.470346450805664,3.354990005493164
0,14.449274063110352,5.4769697189331055
1,20.52362823486328,4.5711493492126465
2,24.584716796875,3.2774839401245117
0,14.566179275512695,6.042702674865723
1,20.536592483520508,4.587851524353027
2,24.720321655273438,3.2452938556671143
0,15.071343421936035,6.116945743560791
1,21.195777893066406,4.507110595703125
2,25.550622940063477,3.2438786029815674
0,15.855514526367188,6.082745552062988
1,22.040788650512695,4.471813678741455
2,26.660282135009766,3.2428202629089355
0,16.815574645996094,5.931951999664307
1,23.064254760742188,4.552149772644043
2,27.9810791015625,3.24127197265625
0,17.199356079101562,5.917115211486816
1,23.591552734375,4.515050888061523
2,28.724550247192383,3.2402806282043457
0,17.65017318725586,6.008828163146973
1,23.785106658935547,4.42611026763916
2,29.24478530883789,3.2400121688842773
0,18.270526885986328,5.922111988067627
1,24.362781524658203,4.489467620849609
2,30.030040740966797,3.239527940750122
0,19.240142822265625,5.64509391784668
1,25.18623924255371,4.632614612579346
2,30.981571197509766,3.2389516830444336
0,19.00568199157715,5.306614398956299
1,24.73885154724121,4.559269905090332
2,30.75571632385254,3.2385265827178955
0,19.55773162841797,5.408304691314697
1,25.422739028930664,4.731447219848633
2,31.68125343322754,3.23822021484375
0,19.946619033813477,5.483528137207031
1,25.87485694885254,4.90716552734375
2,32.137874603271484,3.2374918460845947
0,19.96319007873535,5.096155166625977
1,26.211933135986328,4.891250133514404
2,32.653324127197266,3.237011671066284
0,21.311660766601562,5.118034839630127
1,27.17780876159668,5.137714385986328
2,33.18746566772461,3.236607074737549
0,22.146228790283203,5.151905059814453
1,28.4219970703125,5.0687360763549805
2,34.761741638183594,3.236711263656616
0,21.375452041625977,5.168611526489258
1,27.637887954711914,5.007613182067871
2,33.88124465942383,3.2358150482177734
0,20.51116371154785,5.088077545166016
1,27.29908561706543,5.155346870422363
2,33.75105285644531,3.2357373237609863
0,21.28419303894043,5.449502944946289
1,27.434236526489258,5.043814659118652
2,33.98536682128906,3.2363646030426025
0,21.244731903076172,5.392632007598877
1,27.92605972290039,5.204840660095215
2,34.17780685424805,3.235960006713867
0,20.657522201538086,5.555866241455078
1,26.94864273071289,5.127365589141846
2,33.20074462890625,3.235093832015991
0,20.887285232543945,5.479719161987305
1,27.119178771972656,5.146767616271973
2,33.043121337890625,3.235260248184204
0,19.813817977905273,5.519064903259277
1,26.486040115356445,5.072092056274414
2,32.73628234863281,3.2358527183532715
0,18.79416847229004,5.5779924392700195
1,25.407678604125977,5.006803512573242
2,31.725383758544922,3.235701560974121
0,20.36655616760254,5.516204833984375
1,26.150484085083008,5.138204574584961
2,31.949859619140625,3.2350316047668457
0,19.861705780029297,5.460275650024414
1,25.7481632232666,5.111708641052246
2,31.478620529174805,3.2345149517059326
0,19.653263092041016,4.98668098449707
1,25.343355178833008,5.099114418029785
2,30.719623565673828,3.2346856594085693
0,18.628070831298828,5.062717914581299
1,24.804410934448242,5.076397895812988
2,30.651765823364258,3.235281467437744
0,20.522741317749023,4.924755096435547
1,25.919921875,5.375321388244629
2,31.10143280029297,3.2353644371032715
0,19.550525665283203,4.892317771911621
1,24.572383880615234,5.17794132232666
2,29.506895065307617,3.2349061965942383
0,19.427522659301758,4.910134792327881
1,24.80931282043457,5.222201824188232
2,29.663930892944336,3.234452724456787
0,19.282087326049805,5.182948589324951
1,25.23550033569336,5.215768814086914
2,30.252811431884766,3.234532117843628
0,19.498979568481445,5.128334999084473
1,25.46332359313965,5.148164749145508
2,30.4669189453125,3.2349843978881836
0,20.142555236816406,5.52651834487915
1,25.486101150512695,5.141282081604004
2,30.50489044189453,3.2354466915130615
0,19.284208297729492,5.6792707443237305
1,25.05266761779785,5.031748294830322
2,30.45136260986328,3.2356960773468018
0,20.059694290161133,5.912084579467773
1,25.505117416381836,5.047916889190674
2,30.565019607543945,3.2357189655303955
0,18.347829818725586,6.173421859741211
1,23.976404190063477,4.894805908203125
2,29.376081466674805,3.235691785812378
0,17.909297943115234,6.042738914489746
1,23.880727767944336,4.8451690673828125
2,29.327821731567383,3.235691785812378
0,18.59528160095215,6.01162052154541
1,24.032913208007812,4.92903995513916
2,29.259044647216797,3.235691785812378
0,18.419265747070312,5.85139799118042
1,24.08941078186035,4.89240837097168
2,29.350881576538086,3.235691785812378
0,18.727264404296875,5.839345455169678
1,24.445404052734375,5.010202407836914
2,29.62187385559082,3.235692024230957
0,18.461488723754883,6.194673538208008
1,24.130788803100586,4.9543280601501465
2,29.546262741088867,3.235691785812378
0,18.461488723754883,6.194673538208008
1,24.130788803100586,4.9543280601501465
2,29.546262741088867,3.235691785812378
0,19.082096099853516,5.768045425415039
1,24.435991287231445,5.0721235275268555
2,29.509855270385742,3.235691785812378
0,19.082096099853516,5.768045425415039
1,24.435991287231445,5.0721235275268555
2,29.509855270385742,3.235691785812378
0,17.660367965698242,5.875889301300049
1,23.820749282836914,4.832544326782227
2,29.31343650817871,3.235691785812378
0,17.660367965698242,5.875889301300049
1,23.820749282836914,4.832544326782227
2,29.31343650817871,3.235691785812378
0,18.268600463867188,6.209168434143066
1,24.028024673461914,4.834251403808594
2,29.436376571655273,3.235691785812378
0,18.268600463867188,6.209168434143066
1,24.028024673461914,4.834251403808594
2,29.436376571655273,3.235691785812378
0,19.049972534179688,5.833806991577148
1,24.504716873168945,5.024227142333984
2,29.67767906188965,3.235691785812378
0,19.049972534179688,5.833806991577148
1,24.504716873168945,5.024227142333984
2,29.67767906188965,3.235691785812378
0,19.392194747924805,6.08772611618042
1,25.121068954467773,4.973397254943848
2,30.249467849731445,3.235691785812378
0,18.40359878540039,5.78822135925293
1,24.02401351928711,4.82988977432251
2,29.271055221557617,3.2357306480407715
0,18.95154571533203,6.0742926597595215
1,24.080915451049805,4.6397480964660645
2,29.385875701904297,3.2358238697052
0,19.58420753479004,5.96015739440918
1,24.066251754760742,4.506258487701416
2,29.130779266357422,3.23598575592041
0,17.706005096435547,6.280547142028809
1,22.63477325439453,4.416324138641357
2,28.330141067504883,3.236163854598999
0,18.771408081054688,5.865732669830322
1,23.50775718688965,4.422866344451904
2,28.872604370117188,3.236351728439331
0,17.774436950683594,6.040435791015625
1,22.481733322143555,4.418373107910156
2,27.899003982543945,3.2364661693573
0,18.220848083496094,6.217135906219482
1,22.9206485748291,4.418028831481934
2,28.320390701293945,3.2365105152130127
0,18.67675018310547,5.865705490112305
1,22.781034469604492,4.449603080749512
2,28.071063995361328,3.236497163772583
0,18.523963928222656,5.713885307312012
1,22.90929412841797,4.417463779449463
2,28.218217849731445,3.2364563941955566
0,18.40381622314453,5.094452381134033
1,23.151729583740234,4.41723108291626
2,28.28528594970703,3.2363390922546387
0,17.817968368530273,5.082145690917969
1,22.33580207824707,4.416335582733154
2,27.43098258972168,3.236199378967285
0,17.255313873291016,4.830878734588623
1,21.756853103637695,4.416876316070557
2,26.934986114501953,3.236091375350952
0,17.463855743408203,4.945006370544434
1,21.881793975830078,4.416751861572266
2,27.24781036376953,3.2359495162963867
0,18.515710830688477,5.185285568237305
1,22.88020133972168,4.416700839996338
2,28.067312240600586,3.2357864379882812
0,18.51416015625,5.825680255889893
1,22.77678871154785,4.416670799255371
2,28.239238739013672,3.2357029914855957
0,17.920074462890625,6.402270793914795
1,23.10551643371582,4.416661739349365
2,29.061891555786133,3.235629081726074
0,18.131799697875977,6.564560413360596
1,23.308517456054688,4.416652202606201
2,29.45078468322754,3.235570192337036
0,18.946401596069336,6.978752136230469
1,24.291852951049805,4.41664457321167
2,30.547460556030273,3.235490322113037
0,17.758989334106445,6.942457675933838
1,23.237199783325195,4.416612148284912
2,29.697519302368164,3.2353873252868652
0,18.690534591674805,6.896404266357422
1,23.99608039855957,4.416568279266357
2,30.25437355041504,3.235321521759033
0,17.800567626953125,6.832427024841309
1,23.581417083740234,4.416500568389893
2,30.028568267822266,3.2352373600006104
0,18.36103630065918,6.820408821105957
1,24.070831298828125,4.416406631469727
2,30.551918029785156,3.2351388931274414
0,18.52469253540039,6.5660810470581055
1,23.757854461669922,4.416290283203125
2,29.92601203918457,3.23504900932312
0,18.482511520385742,6.435884475708008
1,23.49669647216797,4.416120529174805
2,29.598684310913086,3.234968662261963
0,18.98988914489746,6.160837173461914
1,24.39866065979004,4.41764497756958
2,30.260786056518555,3.2348737716674805
0,17.280025482177734,5.740395545959473
1,23.232929229736328,4.415832996368408
2,29.054893493652344,3.234799385070801
0,17.951383590698242,5.888493061065674
1,23.494813919067383,4.415703296661377
2,29.318645477294922,3.2347278594970703
0,17.74258041381836,6.216449737548828
1,23.441791534423828,4.415603160858154
2,29.44746971130371,3.2346837520599365
0,17.21585464477539,6.340319633483887
1,22.94507598876953,4.415526866912842
2,29.24782943725586,3.234630823135376
0,17.813514709472656,6.399949073791504
1,23.289180755615234,4.415494918823242
2,29.497385025024414,3.2345798015594482
0,17.76911735534668,6.424962997436523
1,23.07378578186035,4.41546630859375
2,29.352069854736328,3.2345147132873535
0,17.615394592285156,6.296825408935547
1,22.93694496154785,4.415414810180664
2,29.16763687133789,3.2344720363616943
0,18.745758056640625,6.44202184677124
1,23.93125343322754,4.415355205535889
