transmission_cluster,obs,base_date,y,d
208,2,2021-09-25,20,10
208,3,2021-09-26,20,9
208,4,2021-09-27,20,8
208,5,2021-09-28,20,7
209,1,2021-09-25,47,9
209,2,2021-09-26,39,8
209,3,2021-09-27,36,7
209,4,2021-09-28,20,6
209,5,2021-09-29,20,5
210,1,2021-09-25,21,10
210,2,2021-09-26,17,9
210,3,2021-09-27,16,8
210,4,2021-09-28,16,7
210,5,2021-09-29,16,6
211,1,2021-09-25,58,13
211,2,2021-09-26,54,12
211,3,2021-09-27,54,11
211,4,2021-09-28,50,10
211,5,2021-09-29,48,9
212,1,2021-09-26,34,16
212,2,2021-09-27,27,15
212,3,2021-09-28,19,14
212,4,2021-09-29,17,13
212,5,2021-09-30,13,12
213,1,2021-09-28,102,15
213,2,2021-09-29,97,14
213,3,2021-09-30,85,13
213,4,2021-10-01,57,12
213,5,2021-10-02,57,11
214,1,2021-09-29,0,0
215,1,2021-09-29,0,0
216,1,2021-10-01,99,12
216,2,2021-10-02,99,11
216,3,2021-10-03,91,10
216,4,2021-10-04,43,9
216,5,2021-10-05,27,8
217,1,2021-10-01,0,0
218,1,2021-10-01,0,0
219,1,2021-10-01,0,0
220,1,2021-10-01,0,0
221,1,2021-10-03,192,13
221,2,2021-10-04,64,12
221,3,2021-10-05,32,11
221,4,2021-10-06,32,10
221,5,2021-10-07,32,9
222,1,2021-10-03,16,2
222,2,2021-10-04,16,1
222,3,2021-10-05,0,0
223,1,2021-10-04,577,18
223,2,2021-10-05,129,17
223,3,2021-10-06,129,16
223,4,2021-10-07,129,15
223,5,2021-10-08,97,14
224,1,2021-10-04,94,15
224,2,2021-10-05,14,14
224,3,2021-10-06,14,13
224,4,2021-10-07,14,12
224,5,2021-10-08,10,11
225,1,2021-10-04,0,0
226,1,2021-10-05,9,11
226,2,2021-10-06,9,10
226,3,2021-10-07,9,9
226,4,2021-10-08,9,8
226,5,2021-10-09,9,7
227,1,2021-10-09,44,13
227,2,2021-10-10,44,12
227,3,2021-10-11,44,11
227,4,2021-10-12,44,10
227,5,2021-10-13,44,9
228,1,2021-10-09,13,9
228,2,2021-10-10,13,8
228,3,2021-10-11,13,7
228,4,2021-10-12,13,6
228,5,2021-10-13,13,5
229,1,2021-10-10,192,16
229,2,2021-10-11,192,15
229,3,2021-10-12,138,14
229,4,2021-10-13,120,13
229,5,2021-10-14,108,12
230,1,2021-10-12,186,10
230,2,2021-10-13,105,9
230,3,2021-10-14,101,8
230,4,2021-10-15,29,7
230,5,2021-10-16,20,6
231,1,2021-10-12,172,19
231,2,2021-10-13,127,18
231,3,2021-10-14,127,17
231,4,2021-10-15,28,16
231,5,2021-10-16,19,15
232,1,2021-10-13,62,5
232,2,2021-10-14,58,4
232,3,2021-10-15,31,3
232,4,2021-10-16,4,2
232,5,2021-10-17,4,1
233,1,2021-10-13,10,14
233,2,2021-10-14,10,13
233,3,2021-10-15,10,12
233,4,2021-10-16,10,11
233,5,2021-10-17,9,10
234,1,2021-10-16,110,17
234,2,2021-10-17,101,16
234,3,2021-10-18,81,15
234,4,2021-10-19,78,14
234,5,2021-10-20,24,13
235,1,2021-10-17,0,0
236,1,2021-10-17,161,5
236,2,2021-10-18,65,4
236,3,2021-10-19,53,3
236,4,2021-10-20,17,2
236,5,2021-10-21,16,1
237,1,2021-10-18,11,2
237,2,2021-10-19,9,1
237,3,2021-10-20,0,0
238,1,2021-10-19,307,13
238,2,2021-10-20,280,12
238,3,2021-10-21,279,11
238,4,2021-10-22,247,10
238,5,2021-10-23,243,9
239,1,2021-10-20,269,13
239,2,2021-10-21,268,12
239,3,2021-10-22,236,11
239,4,2021-10-23,228,10
239,5,2021-10-24,216,9
240,1,2021-10-20,1,1
240,2,2021-10-21,0,0
241,1,2021-10-21,79,5
241,2,2021-10-22,31,4
241,3,2021-10-23,27,3
241,4,2021-10-24,27,2
241,5,2021-10-25,27,1
242,1,2021-10-22,152,11
242,2,2021-10-23,148,10
242,3,2021-10-24,120,9
242,4,2021-10-25,75,8
242,5,2021-10-26,57,7
243,1,2021-10-22,69,11
243,2,2021-10-23,59,10
243,3,2021-10-24,55,9
243,4,2021-10-25,37,8
243,5,2021-10-26,28,7
244,1,2021-10-22,133,10
244,2,2021-10-23,133,9
244,3,2021-10-24,129,8
244,4,2021-10-25,93,7
244,5,2021-10-26,21,6
245,1,2021-10-25,0,0
246,1,2021-10-25,0,0
247,1,2021-10-25,124,12
247,2,2021-10-26,97,11
247,3,2021-10-27,89,10
247,4,2021-10-28,17,9
247,5,2021-10-29,8,8
248,1,2021-10-26,108,11
248,2,2021-10-27,60,10
248,3,2021-10-28,15,9
248,4,2021-10-29,6,8
248,5,2021-10-30,6,7
249,1,2021-10-26,0,0
250,1,2021-10-26,50,5
250,2,2021-10-27,50,4
250,3,2021-10-28,41,3
250,4,2021-10-29,32,2
250,5,2021-10-30,32,1
251,1,2021-10-27,9,1
251,2,2021-10-28,0,0
252,1,2021-10-27,72,5
252,2,2021-10-28,36,4
252,3,2021-10-29,9,3
252,4,2021-10-30,9,2
252,5,2021-10-31,9,1
253,1,2021-10-28,298,9
253,2,2021-10-29,118,8
253,3,2021-10-30,118,7
253,4,2021-10-31,106,6
253,5,2021-11-01,16,5
254,1,2021-10-28,0,0
255,1,2021-10-28,77,5
255,2,2021-10-29,50,4
255,3,2021-10-30,50,3
255,4,2021-10-31,38,2
255,5,2021-11-01,2,1
256,1,2021-10-29,19,8
256,2,2021-10-30,19,7
256,3,2021-10-31,11,6
256,4,2021-11-01,2,5
256,5,2021-11-02,1,4
257,1,2021-10-29,22,8
257,2,2021-10-30,22,7
257,3,2021-10-31,22,6
257,4,2021-11-01,4,5
257,5,2021-11-02,1,4
258,1,2021-10-29,0,0
259,1,2021-10-31,49,6
259,2,2021-11-01,4,5
259,3,2021-11-02,1,4
259,4,2021-11-03,1,3
259,5,2021-11-04,1,2
260,1,2021-10-31,0,0
261,1,2021-10-31,187,6
261,2,2021-11-01,7,5
261,3,2021-11-02,2,4
261,4,2021-11-03,2,3
261,5,2021-11-04,2,2
262,1,2021-10-31,21,2
262,2,2021-11-01,3,1
262,3,2021-11-02,0,0
263,1,2021-11-01,10,5
263,2,2021-11-02,3,4
263,3,2021-11-03,3,3
263,4,2021-11-04,3,2
263,5,2021-11-05,3,1
264,1,2021-11-02,0,0
265,1,2021-11-02,0,0
266,1,2021-11-06,0,0
267,1,2021-11-06,0,0
268,1,2021-11-06,0,0
269,1,2021-11-06,0,0
270,1,2021-11-06,0,0
