transmission_cluster,obs,base_date,y,d
53,4,2021-01-16,6,10
53,5,2021-01-17,6,9
54,1,2021-01-14,10,8
54,2,2021-01-15,5,7
54,3,2021-01-16,4,6
54,4,2021-01-17,3,5
54,5,2021-01-18,2,4
55,1,2021-01-15,10,10
55,2,2021-01-16,6,9
55,3,2021-01-17,4,8
55,4,2021-01-18,4,7
55,5,2021-01-19,1,6
56,1,2021-01-25,27,3
56,2,2021-01-26,13,2
56,3,2021-01-27,4,1
56,4,2021-01-28,0,0
57,1,2021-01-29,10,6
57,2,2021-01-30,1,5
57,3,2021-01-31,1,4
57,4,2021-02-01,1,3
57,5,2021-02-02,1,2
58,1,2021-02-02,16,3
58,2,2021-02-03,7,2
58,3,2021-02-04,3,1
58,4,2021-02-05,0,0
59,1,2021-02-02,6,5
59,2,2021-02-03,4,4
59,3,2021-02-04,4,3
59,4,2021-02-05,4,2
59,5,2021-02-06,3,1
60,1,2021-02-02,22,15
60,2,2021-02-03,6,14
60,3,2021-02-04,5,13
60,4,2021-02-05,5,12
60,5,2021-02-06,4,11
61,1,2021-02-03,16,15
61,2,2021-02-04,12,14
61,3,2021-02-05,8,13
61,4,2021-02-06,8,12
61,5,2021-02-07,8,11
62,1,2021-02-04,11,14
62,2,2021-02-05,9,13
62,3,2021-02-06,8,12
62,4,2021-02-07,8,11
62,5,2021-02-08,8,10
63,1,2021-02-08,40,19
63,2,2021-02-09,33,18
63,3,2021-02-10,27,17
63,4,2021-02-11,21,16
63,5,2021-02-12,19,15
64,1,2021-02-11,7,5
64,2,2021-02-12,6,4
64,3,2021-02-13,4,3
64,4,2021-02-14,3,2
64,5,2021-02-15,2,1
65,1,2021-02-11,19,19
65,2,2021-02-12,18,18
65,3,2021-02-13,18,17
65,4,2021-02-14,18,16
65,5,2021-02-15,16,15
66,1,2021-02-11,25,17
66,2,2021-02-12,22,16
66,3,2021-02-13,16,15
66,4,2021-02-14,14,14
66,5,2021-02-15,14,13
67,1,2021-02-16,20,17
67,2,2021-02-17,20,16
67,3,2021-02-18,20,15
67,4,2021-02-19,20,14
67,5,2021-02-20,13,13
68,1,2021-02-17,9,13
68,2,2021-02-18,1,12
68,3,2021-02-19,1,11
68,4,2021-02-20,1,10
68,5,2021-02-21,1,9
69,1,2021-02-18,12,15
69,2,2021-02-19,5,14
69,3,2021-02-20,3,13
69,4,2021-02-21,3,12
69,5,2021-02-22,3,11
70,1,2021-02-22,11,22
70,2,2021-02-23,9,21
70,3,2021-02-24,8,20
70,4,2021-02-25,7,19
70,5,2021-02-26,6,18
71,1,2021-02-28,12,11
71,2,2021-03-01,7,10
71,3,2021-03-02,4,9
71,4,2021-03-03,4,8
71,5,2021-03-04,4,7
72,1,2021-03-03,7,14
72,2,2021-03-04,3,13
72,3,2021-03-05,1,12
72,4,2021-03-06,1,11
72,5,2021-03-07,1,10
73,1,2021-03-08,46,20
73,2,2021-03-09,34,19
73,3,2021-03-10,30,18
73,4,2021-03-11,30,17
73,5,2021-03-12,30,16
74,1,2021-03-10,12,7
74,2,2021-03-11,5,6
74,3,2021-03-12,4,5
74,4,2021-03-13,4,4
74,5,2021-03-14,3,3
75,1,2021-03-11,6,6
75,2,2021-03-12,4,5
75,3,2021-03-13,4,4
75,4,2021-03-14,2,3
75,5,2021-03-15,1,2
76,1,2021-03-11,4,2
76,2,2021-03-12,1,1
76,3,2021-03-13,0,0
77,1,2021-03-14,17,14
77,2,2021-03-15,14,13
77,3,2021-03-16,9,12
77,4,2021-03-17,8,11
77,5,2021-03-18,8,10
78,1,2021-03-21,10,15
78,2,2021-03-22,8,14
78,3,2021-03-23,7,13
78,4,2021-03-24,6,12
78,5,2021-03-25,2,11
79,1,2021-03-25,176,6
79,2,2021-03-26,32,5
79,3,2021-03-27,12,4
79,4,2021-03-28,4,3
79,5,2021-03-29,4,2
80,1,2021-03-25,172,3
80,2,2021-03-26,12,2
80,3,2021-03-27,4,1
80,4,2021-03-28,0,0
81,1,2021-03-25,166,9
81,2,2021-03-26,38,8
81,3,2021-03-27,18,7
81,4,2021-03-28,6,6
81,5,2021-03-29,6,5
82,1,2021-03-26,133,19
82,2,2021-03-27,133,18
82,3,2021-03-28,113,17
82,4,2021-03-29,86,16
82,5,2021-03-30,82,15
83,1,2021-03-26,201,21
83,2,2021-03-27,201,20
83,3,2021-03-28,201,19
83,4,2021-03-29,183,18
83,5,2021-03-30,179,17
84,1,2021-03-28,213,25
84,2,2021-03-29,204,24
84,3,2021-03-30,176,23
84,4,2021-03-31,152,22
84,5,2021-04-01,151,21
85,1,2021-04-04,43,8
85,2,2021-04-05,40,7
85,3,2021-04-06,36,6
85,4,2021-04-07,36,5
85,5,2021-04-08,20,4
86,1,2021-04-07,321,18
86,2,2021-04-08,113,17
86,3,2021-04-09,17,16
86,4,2021-04-10,8,15
86,5,2021-04-11,8,14
87,1,2021-04-27,25,14
87,2,2021-04-28,9,13
87,3,2021-04-29,9,12
87,4,2021-04-30,9,11
87,5,2021-05-01,9,10
88,1,2021-05-11,5,7
88,2,2021-05-12,3,6
88,3,2021-05-13,1,5
88,4,2021-05-14,1,4
88,5,2021-05-15,1,3
89,1,2021-05-13,51,33
89,2,2021-05-14,51,32
89,3,2021-05-15,47,31
89,4,2021-05-16,46,30
89,5,2021-05-17,43,29
90,1,2021-05-26,25,10
90,2,2021-05-27,25,9
90,3,2021-05-28,7,8
90,4,2021-05-29,7,7
90,5,2021-05-30,7,6
91,1,2021-05-26,10,16
91,2,2021-05-27,10,15
91,3,2021-05-28,10,14
91,4,2021-05-29,9,13
91,5,2021-05-30,8,12
92,1,2021-06-05,33,21
92,2,2021-06-06,33,20
92,3,2021-06-07,33,19
92,4,2021-06-08,33,18
92,5,2021-06-09,33,17
93,1,2021-06-22,24,15
93,2,2021-06-23,19,14
93,3,2021-06-24,11,13
93,4,2021-06-25,11,12
93,5,2021-06-26,10,11
94,1,2021-06-26,8,2
94,2,2021-06-27,3,1
94,3,2021-06-28,0,0
95,1,2021-06-29,5,11
95,2,2021-06-30,5,10
95,3,2021-07-01,4,9
95,4,2021-07-02,4,8
95,5,2021-07-03,4,7
96,1,2021-06-29,15,16
96,2,2021-06-30,15,15
96,3,2021-07-01,11,14
96,4,2021-07-02,11,13
96,5,2021-07-03,9,12
97,1,2021-07-03,377,28
97,2,2021-07-04,377,27
97,3,2021-07-05,376,26
97,4,2021-07-06,375,25
97,5,2021-07-07,312,24
98,1,2021-07-05,266,22
98,2,2021-07-06,242,21
98,3,2021-07-07,89,20
98,4,2021-07-08,87,19
98,5,2021-07-09,78,18
99,1,2021-07-07,41,16
99,2,2021-07-08,35,15
99,3,2021-07-09,33,14
99,4,2021-07-10,33,13
99,5,2021-07-11,33,12
100,1,2021-07-08,17,14
100,2,2021-07-09,10,13
100,3,2021-07-10,9,12
100,4,2021-07-11,9,11
100,5,2021-07-12,9,10
101,1,2021-07-08,47,19
101,2,2021-07-09,44,18
101,3,2021-07-10,43,17
101,4,2021-07-11,43,16
101,5,2021-07-12,43,15
102,1,2021-07-08,8,15
102,2,2021-07-09,6,14
102,3,2021-07-10,6,13
